time,value,time,dayofweek,hour,Occupancy_State
2018-08-01 18:20:00,1,2018-08-01 18:20:00,2,18,1
2018-08-01 18:21:00,1,2018-08-01 18:21:00,2,18,1
2018-08-01 18:22:00,1,2018-08-01 18:22:00,2,18,1
2018-08-01 18:23:00,1,2018-08-01 18:23:00,2,18,1
2018-08-01 18:24:00,1,2018-08-01 18:24:00,2,18,1
2018-08-01 18:25:00,1,2018-08-01 18:25:00,2,18,1
2018-08-01 18:26:00,1,2018-08-01 18:26:00,2,18,1
2018-08-01 18:27:00,1,2018-08-01 18:27:00,2,18,1
2018-08-01 18:28:00,1,2018-08-01 18:28:00,2,18,1
2018-08-01 18:29:00,1,2018-08-01 18:29:00,2,18,1
2018-08-01 18:30:00,1,2018-08-01 18:30:00,2,18,1
2018-08-01 18:31:00,1,2018-08-01 18:31:00,2,18,1
2018-08-01 18:32:00,1,2018-08-01 18:32:00,2,18,1
2018-08-01 18:33:00,1,2018-08-01 18:33:00,2,18,1
2018-08-01 18:34:00,1,2018-08-01 18:34:00,2,18,1
2018-08-01 18:35:00,1,2018-08-01 18:35:00,2,18,1
2018-08-01 18:36:00,1,2018-08-01 18:36:00,2,18,1
2018-08-01 18:37:00,1,2018-08-01 18:37:00,2,18,1
2018-08-01 18:38:00,1,2018-08-01 18:38:00,2,18,1
2018-08-01 18:39:00,1,2018-08-01 18:39:00,2,18,1
2018-08-01 18:40:00,1,2018-08-01 18:40:00,2,18,1
2018-08-01 18:43:00,1,2018-08-01 18:43:00,2,18,1
2018-08-01 18:44:00,1,2018-08-01 18:44:00,2,18,1
2018-08-01 18:45:00,1,2018-08-01 18:45:00,2,18,1
2018-08-01 18:46:00,1,2018-08-01 18:46:00,2,18,1
2018-08-01 18:47:00,1,2018-08-01 18:47:00,2,18,1
2018-08-01 18:48:00,1,2018-08-01 18:48:00,2,18,1
2018-08-01 18:49:00,1,2018-08-01 18:49:00,2,18,1
2018-08-01 18:50:00,1,2018-08-01 18:50:00,2,18,1
2018-08-01 18:51:00,1,2018-08-01 18:51:00,2,18,1
2018-08-01 20:20:00,1,2018-08-01 20:20:00,2,20,1
2018-08-01 20:21:00,1,2018-08-01 20:21:00,2,20,1
2018-08-01 20:22:00,1,2018-08-01 20:22:00,2,20,1
2018-08-01 20:23:00,1,2018-08-01 20:23:00,2,20,1
2018-08-01 20:24:00,1,2018-08-01 20:24:00,2,20,1
2018-08-01 20:25:00,1,2018-08-01 20:25:00,2,20,1
2018-08-01 20:26:00,1,2018-08-01 20:26:00,2,20,1
2018-08-01 20:27:00,1,2018-08-01 20:27:00,2,20,1
2018-08-01 20:28:00,1,2018-08-01 20:28:00,2,20,1
2018-08-01 20:29:00,1,2018-08-01 20:29:00,2,20,1
2018-08-01 20:30:00,1,2018-08-01 20:30:00,2,20,1
2018-08-01 20:31:00,1,2018-08-01 20:31:00,2,20,1
2018-08-01 20:34:00,1,2018-08-01 20:34:00,2,20,1
2018-08-01 20:55:00,1,2018-08-01 20:55:00,2,20,1
2018-08-01 21:03:00,1,2018-08-01 21:03:00,2,21,1
2018-08-01 21:07:00,1,2018-08-01 21:07:00,2,21,1
2018-08-01 21:09:00,1,2018-08-01 21:09:00,2,21,1
2018-08-01 21:10:00,1,2018-08-01 21:10:00,2,21,1
2018-08-01 21:11:00,1,2018-08-01 21:11:00,2,21,1
2018-08-01 21:12:00,1,2018-08-01 21:12:00,2,21,1
2018-08-01 21:13:00,1,2018-08-01 21:13:00,2,21,1
2018-08-01 21:14:00,1,2018-08-01 21:14:00,2,21,1
2018-08-01 21:15:00,1,2018-08-01 21:15:00,2,21,1
2018-08-01 21:16:00,1,2018-08-01 21:16:00,2,21,1
2018-08-01 21:17:00,1,2018-08-01 21:17:00,2,21,1
2018-08-01 21:18:00,1,2018-08-01 21:18:00,2,21,1
2018-08-01 21:19:00,1,2018-08-01 21:19:00,2,21,1
2018-08-01 21:20:00,1,2018-08-01 21:20:00,2,21,1
2018-08-01 21:21:00,1,2018-08-01 21:21:00,2,21,1
2018-08-01 21:22:00,1,2018-08-01 21:22:00,2,21,1
2018-08-01 21:23:00,1,2018-08-01 21:23:00,2,21,1
2018-08-01 21:24:00,1,2018-08-01 21:24:00,2,21,1
2018-08-01 21:25:00,1,2018-08-01 21:25:00,2,21,1
2018-08-01 21:26:00,1,2018-08-01 21:26:00,2,21,1
2018-08-01 21:27:00,1,2018-08-01 21:27:00,2,21,1
2018-08-01 21:28:00,1,2018-08-01 21:28:00,2,21,1
2018-08-01 21:29:00,1,2018-08-01 21:29:00,2,21,1
2018-08-01 21:30:00,1,2018-08-01 21:30:00,2,21,1
2018-08-01 21:31:00,1,2018-08-01 21:31:00,2,21,1
2018-08-01 21:32:00,1,2018-08-01 21:32:00,2,21,1
2018-08-01 21:33:00,1,2018-08-01 21:33:00,2,21,1
2018-08-01 21:34:00,1,2018-08-01 21:34:00,2,21,1
2018-08-01 21:35:00,1,2018-08-01 21:35:00,2,21,1
2018-08-01 21:36:00,1,2018-08-01 21:36:00,2,21,1
2018-08-01 21:37:00,1,2018-08-01 21:37:00,2,21,1
2018-08-01 21:38:00,1,2018-08-01 21:38:00,2,21,1
2018-08-01 21:39:00,1,2018-08-01 21:39:00,2,21,1
2018-08-01 21:40:00,1,2018-08-01 21:40:00,2,21,1
2018-08-01 21:41:00,1,2018-08-01 21:41:00,2,21,1
2018-08-01 21:42:00,1,2018-08-01 21:42:00,2,21,1
2018-08-01 21:43:00,1,2018-08-01 21:43:00,2,21,1
2018-08-01 21:44:00,1,2018-08-01 21:44:00,2,21,1
2018-08-01 21:45:00,1,2018-08-01 21:45:00,2,21,1
2018-08-01 21:46:00,1,2018-08-01 21:46:00,2,21,1
2018-08-01 21:47:00,1,2018-08-01 21:47:00,2,21,1
2018-08-01 21:49:00,1,2018-08-01 21:49:00,2,21,1
2018-08-01 21:50:00,1,2018-08-01 21:50:00,2,21,1
2018-08-01 21:51:00,1,2018-08-01 21:51:00,2,21,1
2018-08-01 21:52:00,1,2018-08-01 21:52:00,2,21,1
2018-08-01 21:53:00,1,2018-08-01 21:53:00,2,21,1
2018-08-01 21:54:00,1,2018-08-01 21:54:00,2,21,1
2018-08-01 21:55:00,1,2018-08-01 21:55:00,2,21,1
2018-08-01 21:56:00,1,2018-08-01 21:56:00,2,21,1
2018-08-01 21:57:00,1,2018-08-01 21:57:00,2,21,1
2018-08-01 21:58:00,1,2018-08-01 21:58:00,2,21,1
2018-08-01 22:00:00,1,2018-08-01 22:00:00,2,22,1
2018-08-01 22:02:00,1,2018-08-01 22:02:00,2,22,1
2018-08-01 22:04:00,1,2018-08-01 22:04:00,2,22,1
2018-08-01 22:13:00,1,2018-08-01 22:13:00,2,22,1
2018-08-01 22:21:00,1,2018-08-01 22:21:00,2,22,1
2018-08-01 22:22:00,1,2018-08-01 22:22:00,2,22,1
2018-08-01 22:23:00,1,2018-08-01 22:23:00,2,22,1
2018-08-01 22:35:00,1,2018-08-01 22:35:00,2,22,1
2018-08-01 22:39:00,1,2018-08-01 22:39:00,2,22,1
2018-08-01 22:40:00,1,2018-08-01 22:40:00,2,22,1
2018-08-01 22:41:00,1,2018-08-01 22:41:00,2,22,1
2018-08-01 22:42:00,1,2018-08-01 22:42:00,2,22,1
2018-08-01 22:43:00,1,2018-08-01 22:43:00,2,22,1
2018-08-01 22:44:00,1,2018-08-01 22:44:00,2,22,1
2018-08-01 22:45:00,1,2018-08-01 22:45:00,2,22,1
2018-08-01 22:46:00,1,2018-08-01 22:46:00,2,22,1
2018-08-01 22:47:00,1,2018-08-01 22:47:00,2,22,1
2018-08-01 22:48:00,1,2018-08-01 22:48:00,2,22,1
2018-08-01 22:51:00,1,2018-08-01 22:51:00,2,22,1
2018-08-01 22:52:00,1,2018-08-01 22:52:00,2,22,1
2018-08-01 22:53:00,1,2018-08-01 22:53:00,2,22,1
2018-08-01 22:55:00,1,2018-08-01 22:55:00,2,22,1
2018-08-01 23:01:00,1,2018-08-01 23:01:00,2,23,1
2018-08-01 23:04:00,1,2018-08-01 23:04:00,2,23,1
2018-08-01 23:05:00,1,2018-08-01 23:05:00,2,23,1
2018-08-01 23:06:00,1,2018-08-01 23:06:00,2,23,1
2018-08-01 23:07:00,1,2018-08-01 23:07:00,2,23,1
2018-08-01 23:08:00,1,2018-08-01 23:08:00,2,23,1
2018-08-01 23:09:00,1,2018-08-01 23:09:00,2,23,1
2018-08-01 23:10:00,1,2018-08-01 23:10:00,2,23,1
2018-08-01 23:11:00,1,2018-08-01 23:11:00,2,23,1
2018-08-01 23:12:00,1,2018-08-01 23:12:00,2,23,1
2018-08-01 23:13:00,1,2018-08-01 23:13:00,2,23,1
2018-08-01 23:14:00,1,2018-08-01 23:14:00,2,23,1
2018-08-01 23:15:00,1,2018-08-01 23:15:00,2,23,1
2018-08-01 23:16:00,1,2018-08-01 23:16:00,2,23,1
2018-08-01 23:17:00,1,2018-08-01 23:17:00,2,23,1
2018-08-01 23:18:00,1,2018-08-01 23:18:00,2,23,1
